Name,Furniture Type,Material,Color,Feel,Is_Accessory,Dimensions (cm)
Eco Steel Recliner Model 7576,Recliner,Steel,White,Rustic,TRUE,96x125x34
Wood Bookshelf Model 1997,Bookshelf,Wood,Walnut Finish,Traditional,TRUE,184x105x34
Deluxe Wood Desk Model 1076,Desk,Wood,Beige,Japanese,TRUE,155x154x105
Compact Aluminum Bed Model 9162,Bed,Aluminum,Gray,Traditional,FALSE,34x184x49
Marble Nightstand Model 3908,Nightstand,Marble,White,Mid-Century,FALSE,17x169x19
Vintage Pine Sofa Model 5774,Sofa,Pine,Walnut Finish,Rustic,TRUE,35x137x59
Marble Cabinet Model 8449,Cabinet,Marble,Walnut Finish,Minimalist,FALSE,124x39x181
Slim Wicker Bed Model 3316,Bed,Wicker,Gray,Minimalist,TRUE,113x20x101
Walnut Chair Model 2618,Chair,Walnut,Walnut Finish,Mid-Century,TRUE,179x177x92
Slim Pine Coffee Table Model 5629,Coffee Table,Pine,Beige,Industrial,TRUE,84x170x119
Modern Leather Coffee Table Model 9035,Coffee Table,Leather,Green,Modern,FALSE,153x133x166
Plastic Coffee Table Model 1903,Coffee Table,Plastic,Red,Rustic,TRUE,58x32x88
Deluxe Plywood Desk Model 9753,Desk,Plywood,Blue,Japanese,FALSE,58x100x147
Teak Chair Model 9329,Chair,Teak,Oak Finish,Bohemian,TRUE,140x104x184
Walnut Chair Model 8491,Chair,Walnut,Gray,Modern,TRUE,192x91x28
Premium Fabric Stool Model 1255,Stool,Fabric,Gray,Traditional,TRUE,186x39x84
Walnut Table Model 3900,Table,Walnut,Gray,Minimalist,TRUE,105x112x21
Aluminum Cabinet Model 5230,Cabinet,Aluminum,Yellow,Industrial,FALSE,184x156x191
Glass Wardrobe Model 7704,Wardrobe,Glass,Walnut Finish,Rustic,FALSE,115x106x81
Teak Stool Model 5152,Stool,Teak,Espresso,Mid-Century,FALSE,20x188x124
Plywood Cabinet Model 2155,Cabinet,Plywood,Mahogany,Industrial,TRUE,50x135x27
Bamboo Desk Model 5202,Desk,Bamboo,Blue,Scandinavian,FALSE,82x147x83
Teak Wardrobe Model 2777,Wardrobe,Teak,Yellow,Rustic,FALSE,61x32x152
Glass Recliner Model 1584,Recliner,Glass,White,Contemporary,TRUE,38x68x19
Aluminum Coffee Table Model 4960,Coffee Table,Aluminum,Black,Modern,FALSE,122x199x46
Marble Armchair Model 9251,Armchair,Marble,Espresso,Japanese,TRUE,63x195x91
Marble Chair Model 6592,Chair,Marble,Natural,Scandinavian,FALSE,54x99x128
Walnut Stool Model 7411,Stool,Walnut,Cream,Japanese,FALSE,139x26x67
Slim Plywood Desk Model 8190,Desk,Plywood,Gray,Minimalist,TRUE,72x164x145
Bamboo Wardrobe Model 9964,Wardrobe,Bamboo,White,Scandinavian,TRUE,38x185x26
Bamboo Dining Table Model 3783,Dining Table,Bamboo,Beige,Japanese,FALSE,104x19x46
Classic Plywood Sofa Model 7245,Sofa,Plywood,Gray,Japanese,FALSE,155x40x67
Marble Chair Model 1324,Chair,Marble,Beige,Modern,FALSE,156x175x108
Plywood Wardrobe Model 8367,Wardrobe,Plywood,Yellow,Bohemian,TRUE,184x135x166
Wicker Bookshelf Model 8850,Bookshelf,Wicker,Cream,Mid-Century,TRUE,126x147x102
Aluminum Dresser Model 7364,Dresser,Aluminum,Brown,Scandinavian,TRUE,104x199x15
Pine Dining Table Model 1697,Dining Table,Pine,Brown,Scandinavian,TRUE,112x42x170
Glass Nightstand Model 7844,Nightstand,Glass,Green,Bohemian,FALSE,123x109x128
Wicker Nightstand Model 3180,Nightstand,Wicker,Blue,Bohemian,TRUE,72x65x192
Marble Stool Model 6954,Stool,Marble,Gray,Traditional,FALSE,105x174x88
Leather Stool Model 2780,Stool,Leather,White,Mid-Century,FALSE,86x169x115
Glass Chair Model 3567,Chair,Glass,Gray,Minimalist,FALSE,56x123x16
Leather Stool Model 5478,Stool,Leather,Yellow,Scandinavian,TRUE,174x112x157
Vintage Aluminum Stool Model 8677,Stool,Aluminum,Green,Minimalist,FALSE,90x166x166
Classic Plywood Chair Model 2404,Chair,Plywood,Black,Modern,FALSE,33x90x101
Oak Stool Model 6039,Stool,Oak,White,Industrial,FALSE,169x90x159
Corner Fabric Armchair Model 5747,Armchair,Fabric,Blue,Scandinavian,TRUE,48x51x116
Corner Bamboo Sofa Model 7712,Sofa,Bamboo,Walnut Finish,Traditional,FALSE,189x81x186
Classic Steel Dresser Model 8289,Dresser,Steel,Cream,Scandinavian,TRUE,107x131x107
Aluminum Recliner Model 6937,Recliner,Aluminum,Espresso,Japanese,TRUE,124x15x135
Vintage Walnut Nightstand Model 7061,Nightstand,Walnut,Blue,Modern,FALSE,183x110x48
Modern Walnut Sofa Model 6254,Sofa,Walnut,Espresso,Industrial,FALSE,164x136x14
Aluminum Dining Table Model 4146,Dining Table,Aluminum,Blue,Rustic,TRUE,135x91x52
Plywood Chair Model 5310,Chair,Plywood,Gray,Rustic,FALSE,96x20x79
Extendable Plywood Armchair Model 1514,Armchair,Plywood,Black,Minimalist,TRUE,198x156x14
Leather Wardrobe Model 7226,Wardrobe,Leather,Gray,Mid-Century,FALSE,188x106x95
Pine Nightstand Model 7671,Nightstand,Pine,Beige,Bohemian,TRUE,98x194x76
Fabric Stool Model 2364,Stool,Fabric,Brown,Rustic,TRUE,180x91x140
Vintage Wood Sofa Model 2753,Sofa,Wood,Espresso,Scandinavian,FALSE,26x49x156
Pine Dresser Model 1158,Dresser,Pine,Black,Modern,FALSE,168x28x49
Plywood Armchair Model 2733,Armchair,Plywood,Oak Finish,Minimalist,TRUE,190x45x61
Aluminum Bed Model 1062,Bed,Aluminum,Black,Modern,TRUE,63x22x193
Leather Bed Model 4156,Bed,Leather,Blue,Contemporary,TRUE,191x136x164
Fabric Desk Model 2003,Desk,Fabric,Brown,Traditional,TRUE,30x55x60
Aluminum Bookshelf Model 4102,Bookshelf,Aluminum,Walnut Finish,Contemporary,TRUE,58x57x92
Aluminum Dresser Model 5861,Dresser,Aluminum,Green,Traditional,FALSE,65x119x74
Oak Nightstand Model 1114,Nightstand,Oak,Gray,Contemporary,FALSE,82x51x26
Steel Chair Model 1989,Chair,Steel,Red,Minimalist,FALSE,30x182x193
Wood Armchair Model 6216,Armchair,Wood,Mahogany,Modern,FALSE,188x184x165
Marble Bed Model 8385,Bed,Marble,Brown,Minimalist,FALSE,104x137x86
Wicker Recliner Model 4737,Recliner,Wicker,Beige,Industrial,TRUE,186x100x114
Walnut Armchair Model 7606,Armchair,Walnut,Red,Minimalist,FALSE,125x49x46
Leather Coffee Table Model 6189,Coffee Table,Leather,Natural,Scandinavian,TRUE,112x103x13
Pine Dining Table Model 3474,Dining Table,Pine,Oak Finish,Scandinavian,TRUE,65x34x14
Slim Fabric Coffee Table Model 6526,Coffee Table,Fabric,White,Rustic,FALSE,50x87x150
Glass Bookshelf Model 9177,Bookshelf,Glass,Gray,Mid-Century,TRUE,134x180x25
Steel Nightstand Model 8810,Nightstand,Steel,Black,Minimalist,TRUE,70x142x136
Leather Stool Model 6046,Stool,Leather,Red,Japanese,FALSE,171x89x185
Marble Dining Table Model 3120,Dining Table,Marble,Black,Traditional,FALSE,195x105x186
Eco Wicker Cabinet Model 2034,Cabinet,Wicker,Yellow,Mid-Century,FALSE,73x63x93
Walnut Dresser Model 8801,Dresser,Walnut,Oak Finish,Minimalist,FALSE,157x94x188
Walnut Stool Model 4750,Stool,Walnut,White,Minimalist,TRUE,73x135x154
Walnut Recliner Model 9371,Recliner,Walnut,Natural,Minimalist,FALSE,47x169x92
Premium Bamboo Bed Model 5358,Bed,Bamboo,Red,Mid-Century,TRUE,80x192x46
Classic Teak Nightstand Model 8761,Nightstand,Teak,Espresso,Japanese,FALSE,101x168x133
Pine Cabinet Model 8941,Cabinet,Pine,Brown,Minimalist,TRUE,175x58x162
Plastic Sofa Model 4193,Sofa,Plastic,Mahogany,Japanese,FALSE,73x106x118
Classic Plastic Table Model 3360,Table,Plastic,Brown,Industrial,FALSE,30x104x129
Fabric Cabinet Model 3571,Cabinet,Fabric,Cream,Bohemian,FALSE,37x80x126
Extendable Glass Bookshelf Model 8427,Bookshelf,Glass,Mahogany,Traditional,TRUE,92x14x41
Teak Chair Model 8816,Chair,Teak,Blue,Contemporary,FALSE,194x106x150
Extendable Plywood Table Model 7480,Table,Plywood,Green,Minimalist,TRUE,174x82x92
Walnut Chair Model 3160,Chair,Walnut,Beige,Japanese,TRUE,45x48x36
Oak Desk Model 6903,Desk,Oak,Gray,Modern,FALSE,30x115x97
Fabric Bed Model 2018,Bed,Fabric,Green,Contemporary,FALSE,187x49x150
Deluxe Teak Bed Model 3606,Bed,Teak,Gray,Mid-Century,TRUE,71x24x175
Compact Wood Table Model 8842,Table,Wood,Cream,Industrial,TRUE,49x45x138
Wicker Bench Model 1315,Bench,Wicker,Green,Bohemian,FALSE,136x16x181
Bamboo Dining Table Model 4278,Dining Table,Bamboo,Black,Japanese,TRUE,68x159x135
Wicker Table Model 7031,Table,Wicker,Mahogany,Modern,TRUE,111x64x48
Eco Walnut Table Model 5610,Table,Walnut,Cream,Traditional,FALSE,50x61x165
Wicker Bookshelf Model 5265,Bookshelf,Wicker,Gray,Minimalist,FALSE,125x17x124
Glass Coffee Table Model 1682,Coffee Table,Glass,White,Modern,TRUE,200x62x61
Teak Wardrobe Model 5970,Wardrobe,Teak,Mahogany,Industrial,TRUE,175x170x68
Vintage Glass Bookshelf Model 6077,Bookshelf,Glass,Beige,Japanese,FALSE,62x137x194
Oak Coffee Table Model 7402,Coffee Table,Oak,Blue,Mid-Century,TRUE,135x132x153
Pine Wardrobe Model 2272,Wardrobe,Pine,Cream,Industrial,TRUE,17x168x22
Plastic Table Model 5971,Table,Plastic,Walnut Finish,Japanese,TRUE,34x23x104
Premium Plywood Stool Model 7108,Stool,Plywood,Gray,Bohemian,TRUE,86x18x40
Classic Aluminum Wardrobe Model 4353,Wardrobe,Aluminum,Brown,Mid-Century,FALSE,54x13x38
Extendable Oak Bed Model 5475,Bed,Oak,Gray,Mid-Century,FALSE,26x197x187
Slim Glass Cabinet Model 7183,Cabinet,Glass,Black,Bohemian,FALSE,129x115x54
Marble Table Model 2032,Table,Marble,Walnut Finish,Japanese,FALSE,191x82x194
Glass Recliner Model 1399,Recliner,Glass,Espresso,Rustic,TRUE,70x186x124
Plywood Table Model 8132,Table,Plywood,Natural,Traditional,FALSE,69x193x200
Plastic Chair Model 7017,Chair,Plastic,Blue,Modern,FALSE,149x51x105
Eco Oak Nightstand Model 3387,Nightstand,Oak,Beige,Contemporary,FALSE,54x158x112
Fabric Nightstand Model 3418,Nightstand,Fabric,Blue,Rustic,FALSE,182x148x114
Leather Nightstand Model 5148,Nightstand,Leather,Black,Traditional,FALSE,101x175x129
Vintage Pine Armchair Model 1700,Armchair,Pine,Beige,Scandinavian,FALSE,148x171x200
Teak Desk Model 3285,Desk,Teak,Espresso,Traditional,TRUE,187x111x30
Modern Walnut Dining Table Model 9912,Dining Table,Walnut,Black,Contemporary,TRUE,75x150x180
Eco Oak Desk Model 9014,Desk,Oak,Gray,Minimalist,FALSE,143x178x110
Slim Marble Dresser Model 2743,Dresser,Marble,Blue,Bohemian,TRUE,187x58x193
Walnut Table Model 2766,Table,Walnut,Espresso,Contemporary,TRUE,187x88x71
Plastic Coffee Table Model 9879,Coffee Table,Plastic,Oak Finish,Industrial,TRUE,16x14x17
Slim Steel Wardrobe Model 2168,Wardrobe,Steel,Gray,Scandinavian,TRUE,118x101x179
Eco Wood Coffee Table Model 5918,Coffee Table,Wood,Mahogany,Traditional,TRUE,87x119x168
Plywood Recliner Model 1686,Recliner,Plywood,Yellow,Traditional,TRUE,137x91x99
Plastic Table Model 7287,Table,Plastic,Mahogany,Mid-Century,TRUE,118x186x160
Slim Plywood Nightstand Model 7225,Nightstand,Plywood,Red,Japanese,TRUE,131x74x149
Steel Bed Model 8449,Bed,Steel,Gray,Modern,FALSE,71x164x130
Premium Wicker Chair Model 8392,Chair,Wicker,Brown,Contemporary,TRUE,12x185x42
Walnut Table Model 2132,Table,Walnut,Beige,Mid-Century,FALSE,80x188x154
Modern Pine Coffee Table Model 1798,Coffee Table,Pine,Walnut Finish,Contemporary,FALSE,54x125x85
Wood Desk Model 6429,Desk,Wood,Brown,Traditional,TRUE,29x60x133
Glass Recliner Model 3893,Recliner,Glass,Natural,Bohemian,TRUE,87x56x67
Slim Teak Bench Model 9083,Bench,Teak,Cream,Traditional,TRUE,35x52x45
Oak Cabinet Model 1387,Cabinet,Oak,Yellow,Traditional,FALSE,188x120x15
Plywood Nightstand Model 7858,Nightstand,Plywood,Beige,Modern,FALSE,121x152x189
Steel Dining Table Model 5305,Dining Table,Steel,Black,Modern,FALSE,131x112x139
Modern Walnut Dresser Model 2982,Dresser,Walnut,Walnut Finish,Scandinavian,TRUE,180x60x124
Bamboo Nightstand Model 2094,Nightstand,Bamboo,Brown,Mid-Century,TRUE,159x115x39
Premium Glass Chair Model 5920,Chair,Glass,Gray,Scandinavian,TRUE,105x25x140
Vintage Steel Table Model 9692,Table,Steel,Beige,Rustic,FALSE,72x132x64
Vintage Plywood Stool Model 8843,Stool,Plywood,Red,Mid-Century,FALSE,151x172x170
Modern Aluminum Bed Model 9353,Bed,Aluminum,Cream,Scandinavian,FALSE,141x28x154
Glass Desk Model 6926,Desk,Glass,Cream,Bohemian,FALSE,114x25x120
Eco Teak Chair Model 1453,Chair,Teak,Blue,Bohemian,FALSE,125x165x67
Fabric Cabinet Model 7660,Cabinet,Fabric,Yellow,Contemporary,TRUE,71x163x143
Fabric Wardrobe Model 8090,Wardrobe,Fabric,Espresso,Modern,FALSE,26x153x31
Deluxe Pine Cabinet Model 7054,Cabinet,Pine,Cream,Japanese,FALSE,176x97x87
Walnut Bench Model 9379,Bench,Walnut,Brown,Mid-Century,TRUE,130x96x33
Deluxe Wicker Recliner Model 2031,Recliner,Wicker,Beige,Contemporary,FALSE,83x162x141
Wicker Dresser Model 4922,Dresser,Wicker,Walnut Finish,Minimalist,FALSE,88x59x95
Plastic Dining Table Model 7944,Dining Table,Plastic,Brown,Traditional,TRUE,166x45x186
Glass Wardrobe Model 9892,Wardrobe,Glass,Cream,Minimalist,TRUE,128x158x143
Eco Steel Desk Model 5047,Desk,Steel,Mahogany,Rustic,TRUE,175x137x105
Leather Dresser Model 8521,Dresser,Leather,Red,Rustic,TRUE,75x165x28
Compact Steel Bookshelf Model 7440,Bookshelf,Steel,Green,Contemporary,FALSE,136x126x150
Premium Bamboo Bookshelf Model 4263,Bookshelf,Bamboo,Yellow,Bohemian,FALSE,162x37x131
Eco Leather Dining Table Model 3289,Dining Table,Leather,Blue,Modern,TRUE,20x27x81
Bamboo Sofa Model 3087,Sofa,Bamboo,Beige,Rustic,FALSE,62x20x179
Compact Wood Chair Model 5541,Chair,Wood,Black,Minimalist,TRUE,66x168x164
Corner Walnut Bookshelf Model 4872,Bookshelf,Walnut,Beige,Minimalist,FALSE,66x53x108
Extendable Bamboo Stool Model 3627,Stool,Bamboo,Yellow,Japanese,FALSE,134x41x34
Teak Dresser Model 4965,Dresser,Teak,Green,Industrial,TRUE,54x66x81
Wood Sofa Model 8130,Sofa,Wood,Gray,Rustic,FALSE,124x64x69
Teak Sofa Model 8276,Sofa,Teak,Black,Bohemian,FALSE,167x107x15
Glass Bookshelf Model 8154,Bookshelf,Glass,Walnut Finish,Mid-Century,FALSE,92x15x137
Teak Coffee Table Model 4366,Coffee Table,Teak,Red,Traditional,TRUE,163x188x184
Eco Aluminum Coffee Table Model 4393,Coffee Table,Aluminum,Espresso,Bohemian,FALSE,80x73x193
Walnut Wardrobe Model 8695,Wardrobe,Walnut,Gray,Bohemian,TRUE,175x188x26
Oak Armchair Model 7371,Armchair,Oak,Espresso,Japanese,FALSE,107x15x135
Oak Dining Table Model 2465,Dining Table,Oak,Red,Bohemian,FALSE,68x78x103
Fabric Bookshelf Model 4590,Bookshelf,Fabric,White,Scandinavian,TRUE,19x107x103
Corner Pine Chair Model 3601,Chair,Pine,Gray,Modern,TRUE,74x30x144
Fabric Bookshelf Model 3320,Bookshelf,Fabric,White,Rustic,FALSE,57x68x114
Aluminum Wardrobe Model 4798,Wardrobe,Aluminum,Beige,Modern,TRUE,156x177x199
Plastic Desk Model 7934,Desk,Plastic,Beige,Mid-Century,TRUE,14x60x164
Steel Bed Model 5408,Bed,Steel,Espresso,Modern,TRUE,146x41x128
Oak Nightstand Model 9743,Nightstand,Oak,White,Scandinavian,TRUE,12x93x53
Bamboo Bookshelf Model 9206,Bookshelf,Bamboo,Oak Finish,Japanese,TRUE,110x44x52
Fabric Chair Model 4963,Chair,Fabric,White,Scandinavian,FALSE,156x81x128
Extendable Fabric Dresser Model 5066,Dresser,Fabric,White,Modern,TRUE,27x106x44
Plastic Table Model 9027,Table,Plastic,Red,Contemporary,FALSE,150x148x195
Walnut Coffee Table Model 9514,Coffee Table,Walnut,Beige,Mid-Century,FALSE,74x144x114
Bamboo Desk Model 3068,Desk,Bamboo,Oak Finish,Mid-Century,TRUE,28x163x104
Steel Wardrobe Model 7268,Wardrobe,Steel,Yellow,Bohemian,FALSE,16x90x134
Pine Stool Model 8135,Stool,Pine,Natural,Industrial,TRUE,125x161x45
Leather Wardrobe Model 1268,Wardrobe,Leather,Gray,Scandinavian,FALSE,74x134x112
Oak Armchair Model 4353,Armchair,Oak,Red,Minimalist,FALSE,23x72x47
Plastic Sofa Model 6743,Sofa,Plastic,Blue,Japanese,FALSE,177x120x29
Slim Wicker Wardrobe Model 8816,Wardrobe,Wicker,Oak Finish,Contemporary,TRUE,100x94x59
Walnut Wardrobe Model 1181,Wardrobe,Walnut,Beige,Scandinavian,TRUE,200x192x153
Wood Bookshelf Model 4583,Bookshelf,Wood,Natural,Contemporary,FALSE,16x124x113
Pine Bench Model 6684,Bench,Pine,Yellow,Mid-Century,FALSE,104x23x142
Walnut Sofa Model 8100,Sofa,Walnut,Red,Mid-Century,TRUE,180x150x196
Aluminum Bed Model 6409,Bed,Aluminum,Walnut Finish,Bohemian,FALSE,197x194x172
Aluminum Bookshelf Model 2526,Bookshelf,Aluminum,White,Industrial,FALSE,110x66x20
Plastic Chair Model 4186,Chair,Plastic,Natural,Scandinavian,TRUE,116x48x119
Classic Walnut Bookshelf Model 2085,Bookshelf,Walnut,Gray,Japanese,FALSE,196x133x26
Slim Fabric Dresser Model 9085,Dresser,Fabric,Walnut Finish,Scandinavian,FALSE,167x196x105
Plastic Recliner Model 9977,Recliner,Plastic,Yellow,Contemporary,FALSE,171x180x93
Plywood Cabinet Model 9520,Cabinet,Plywood,Cream,Traditional,TRUE,67x15x121
Plastic Recliner Model 5924,Recliner,Plastic,Blue,Contemporary,FALSE,23x161x86
Steel Bookshelf Model 4663,Bookshelf,Steel,Oak Finish,Scandinavian,TRUE,73x128x49
Oak Sofa Model 6947,Sofa,Oak,Beige,Contemporary,FALSE,117x155x94
Steel Wardrobe Model 8883,Wardrobe,Steel,Gray,Scandinavian,TRUE,90x24x121
Teak Coffee Table Model 7786,Coffee Table,Teak,Green,Scandinavian,TRUE,95x104x40
Glass Wardrobe Model 7493,Wardrobe,Glass,Red,Mid-Century,FALSE,120x70x83
Eco Marble Dresser Model 6506,Dresser,Marble,Espresso,Scandinavian,FALSE,31x35x31
Pine Bed Model 3458,Bed,Pine,Mahogany,Japanese,FALSE,33x188x175
Deluxe Wood Cabinet Model 3909,Cabinet,Wood,Natural,Mid-Century,FALSE,183x185x189
Deluxe Plywood Nightstand Model 1662,Nightstand,Plywood,Yellow,Modern,FALSE,35x19x159
Wood Bed Model 4149,Bed,Wood,Yellow,Japanese,FALSE,135x37x78
Marble Wardrobe Model 2174,Wardrobe,Marble,Oak Finish,Contemporary,FALSE,45x26x128
Aluminum Bookshelf Model 2574,Bookshelf,Aluminum,Cream,Contemporary,TRUE,186x82x18
Teak Coffee Table Model 8744,Coffee Table,Teak,Blue,Scandinavian,FALSE,140x88x85
Leather Coffee Table Model 6067,Coffee Table,Leather,Espresso,Industrial,TRUE,71x128x48
Slim Wood Cabinet Model 2928,Cabinet,Wood,Black,Japanese,TRUE,48x195x28
Pine Wardrobe Model 4919,Wardrobe,Pine,Blue,Minimalist,FALSE,114x41x174
Walnut Wardrobe Model 8753,Wardrobe,Walnut,Mahogany,Industrial,FALSE,50x110x59
Steel Nightstand Model 5131,Nightstand,Steel,Natural,Japanese,FALSE,128x178x111
Fabric Bench Model 7919,Bench,Fabric,White,Minimalist,TRUE,11x52x74
Vintage Steel Dining Table Model 3427,Dining Table,Steel,Red,Minimalist,TRUE,141x164x136
Classic Walnut Bookshelf Model 7846,Bookshelf,Walnut,Gray,Scandinavian,FALSE,192x97x167
Wicker Nightstand Model 8910,Nightstand,Wicker,Natural,Modern,TRUE,64x47x95
Bamboo Bookshelf Model 4222,Bookshelf,Bamboo,Green,Contemporary,TRUE,126x194x161
Classic Bamboo Wardrobe Model 1729,Wardrobe,Bamboo,Espresso,Mid-Century,FALSE,160x170x26
Teak Recliner Model 8594,Recliner,Teak,Walnut Finish,Bohemian,TRUE,90x161x67
Plastic Armchair Model 4759,Armchair,Plastic,Brown,Japanese,FALSE,111x77x11
Wood Dresser Model 4915,Dresser,Wood,Gray,Mid-Century,FALSE,22x29x80
Wood Dining Table Model 1838,Dining Table,Wood,Beige,Rustic,TRUE,146x179x151
Pine Wardrobe Model 7373,Wardrobe,Pine,Black,Industrial,FALSE,55x149x177
Compact Wood Stool Model 2305,Stool,Wood,Cream,Bohemian,FALSE,15x35x43
Aluminum Bookshelf Model 5212,Bookshelf,Aluminum,Cream,Rustic,FALSE,62x196x51
Steel Nightstand Model 6070,Nightstand,Steel,Espresso,Rustic,TRUE,29x49x41
Slim Glass Table Model 3932,Table,Glass,Black,Rustic,FALSE,41x138x146
Bamboo Armchair Model 5559,Armchair,Bamboo,Black,Mid-Century,FALSE,33x100x55
Pine Coffee Table Model 5100,Coffee Table,Pine,Gray,Contemporary,TRUE,26x51x47
Aluminum Bench Model 4181,Bench,Aluminum,Beige,Contemporary,FALSE,17x97x109
Compact Steel Dining Table Model 7593,Dining Table,Steel,Espresso,Contemporary,FALSE,160x188x27
Teak Dresser Model 8501,Dresser,Teak,Cream,Mid-Century,FALSE,60x20x19
Eco Glass Armchair Model 6823,Armchair,Glass,Natural,Traditional,FALSE,116x11x90
Steel Armchair Model 9528,Armchair,Steel,White,Modern,TRUE,161x44x131
Bamboo Recliner Model 2962,Recliner,Bamboo,Beige,Minimalist,TRUE,173x91x72
Modern Bamboo Wardrobe Model 5807,Wardrobe,Bamboo,Oak Finish,Bohemian,TRUE,86x180x45
Premium Teak Bookshelf Model 5598,Bookshelf,Teak,Green,Scandinavian,TRUE,145x103x29
Deluxe Plastic Recliner Model 7666,Recliner,Plastic,Mahogany,Rustic,FALSE,57x192x33
Walnut Cabinet Model 2640,Cabinet,Walnut,Beige,Traditional,TRUE,77x95x91
Deluxe Aluminum Sofa Model 2291,Sofa,Aluminum,Yellow,Industrial,FALSE,150x148x30
Walnut Wardrobe Model 2645,Wardrobe,Walnut,Beige,Rustic,TRUE,89x117x33
Extendable Plastic Bench Model 3242,Bench,Plastic,Mahogany,Japanese,TRUE,37x132x20
Vintage Pine Recliner Model 9879,Recliner,Pine,Blue,Bohemian,TRUE,30x95x53
Plywood Desk Model 2701,Desk,Plywood,Walnut Finish,Traditional,TRUE,130x65x196
Aluminum Cabinet Model 4909,Cabinet,Aluminum,Mahogany,Contemporary,TRUE,184x143x79
Fabric Stool Model 1972,Stool,Fabric,Beige,Industrial,FALSE,59x145x84
Aluminum Nightstand Model 7742,Nightstand,Aluminum,Green,Traditional,FALSE,78x73x167
Modern Oak Sofa Model 9153,Sofa,Oak,Green,Rustic,FALSE,161x58x74
Marble Cabinet Model 2965,Cabinet,Marble,White,Traditional,TRUE,43x192x20
Glass Dresser Model 2182,Dresser,Glass,Mahogany,Japanese,TRUE,65x80x38
Plywood Table Model 1225,Table,Plywood,Gray,Modern,FALSE,62x124x46
Premium Oak Cabinet Model 7041,Cabinet,Oak,Cream,Modern,FALSE,178x142x184
Eco Fabric Bookshelf Model 3390,Bookshelf,Fabric,Cream,Industrial,TRUE,180x179x72
Premium Fabric Recliner Model 1801,Recliner,Fabric,Brown,Bohemian,FALSE,50x25x25
Deluxe Bamboo Armchair Model 7773,Armchair,Bamboo,Brown,Industrial,TRUE,82x81x55
Slim Pine Dining Table Model 9676,Dining Table,Pine,Natural,Mid-Century,FALSE,87x174x67
Glass Armchair Model 8812,Armchair,Glass,Mahogany,Rustic,FALSE,51x132x66
Walnut Armchair Model 4840,Armchair,Walnut,White,Japanese,FALSE,66x151x140
Modern Steel Cabinet Model 9552,Cabinet,Steel,Brown,Minimalist,FALSE,178x142x89
Deluxe Wood Coffee Table Model 2755,Coffee Table,Wood,Black,Traditional,FALSE,72x181x152
Classic Plywood Desk Model 1055,Desk,Plywood,Red,Contemporary,FALSE,186x151x117
Deluxe Wood Bench Model 4069,Bench,Wood,Red,Industrial,FALSE,74x188x79
Slim Plywood Stool Model 6847,Stool,Plywood,Green,Traditional,TRUE,72x93x21
Compact Wicker Bench Model 9724,Bench,Wicker,Red,Industrial,FALSE,153x14x186
Steel Bed Model 4789,Bed,Steel,Yellow,Scandinavian,TRUE,62x129x115
Steel Bed Model 8229,Bed,Steel,Cream,Contemporary,TRUE,198x64x65
Steel Nightstand Model 1191,Nightstand,Steel,Natural,Rustic,FALSE,40x81x174
Walnut Armchair Model 6583,Armchair,Walnut,Gray,Modern,TRUE,33x74x163
Classic Wood Dresser Model 9864,Dresser,Wood,Red,Rustic,FALSE,65x115x94
Steel Sofa Model 4757,Sofa,Steel,Beige,Traditional,FALSE,10x119x188
Modern Walnut Nightstand Model 3691,Nightstand,Walnut,Blue,Mid-Century,TRUE,180x80x59
Teak Desk Model 1740,Desk,Teak,White,Industrial,TRUE,63x60x43
Fabric Wardrobe Model 4696,Wardrobe,Fabric,Natural,Mid-Century,TRUE,40x195x195
Modern Wicker Stool Model 8074,Stool,Wicker,Cream,Rustic,TRUE,131x106x11
Wicker Desk Model 3868,Desk,Wicker,Natural,Contemporary,FALSE,37x31x50
Steel Stool Model 2776,Stool,Steel,White,Bohemian,TRUE,78x192x143
Walnut Bench Model 9730,Bench,Walnut,Red,Scandinavian,TRUE,124x118x54
Plastic Armchair Model 4508,Armchair,Plastic,Blue,Rustic,TRUE,60x113x85
Pine Coffee Table Model 2491,Coffee Table,Pine,Beige,Mid-Century,TRUE,187x42x23
Oak Dresser Model 2854,Dresser,Oak,Mahogany,Contemporary,FALSE,176x158x192
Wood Cabinet Model 9831,Cabinet,Wood,Beige,Scandinavian,TRUE,71x22x140
Corner Glass Bed Model 2369,Bed,Glass,Beige,Contemporary,TRUE,76x76x95
Teak Cabinet Model 8007,Cabinet,Teak,White,Japanese,TRUE,45x66x188
Corner Bamboo Bed Model 8247,Bed,Bamboo,White,Traditional,TRUE,198x92x127
Classic Plywood Desk Model 1490,Desk,Plywood,Brown,Minimalist,TRUE,180x186x16
Compact Steel Table Model 2328,Table,Steel,Blue,Scandinavian,FALSE,35x122x147
Wood Nightstand Model 1423,Nightstand,Wood,Espresso,Traditional,FALSE,90x107x182
Pine Sofa Model 5749,Sofa,Pine,Walnut Finish,Contemporary,FALSE,50x31x149
Marble Cabinet Model 9847,Cabinet,Marble,Cream,Traditional,FALSE,143x29x48
Teak Desk Model 9215,Desk,Teak,Espresso,Rustic,TRUE,90x107x130
Classic Bamboo Chair Model 1430,Chair,Bamboo,Green,Mid-Century,TRUE,179x76x72
Wicker Coffee Table Model 2453,Coffee Table,Wicker,Cream,Minimalist,FALSE,145x48x113
